IdSensore;NomeTipoSensore;UnitaMisura;Idstazione;NomeStazione;Quota;Provincia;Comune;DataStart;location
10431;Ossidi di Azoto;µg/m³;1264;Sondrio v.Paribelli;290;SO;Sondrio;11/11/2008;(46.167852440665115, 9.879209924469903)
9968;Ossidi di Azoto;µg/m³;679;Valmadrera v.Pozzi;247;LC;Valmadrera;16/02/2006;(45.842207261022544, 9.351658166127958)
20197;PM10 (SM2005);µg/m³;598;San Rocco al Porto v.Matteotti;50;LO;San Rocco al Porto;01/01/2002;(45.081986696978625, 9.70078817718398)
5611;Biossido di Azoto;µg/m³;608;Codogno v.Trento;59;LO;Codogno;13/01/2000;(45.15937280234111, 9.69814824935254)
10347;Particelle sospese PM2.5;µg/m³;670;Mantova S.Agnese;22;MN;Mantova;21/12/2007;(45.16056833010576, 10.79556411370788)
5749;Ozono;µg/m³;554;Saronno v.Santuario;212;VA;Saronno;09/05/1991;(45.627357052738944, 9.026401379770974)
10197;Particelle sospese PM2.5;µg/m³;697;Borgofranco sul Po loc. Bonizzo;14;MN;Borgofranco sul Po;01/12/2006;(45.04650153816735, 11.18093581912755)
6915;PM10 (SM2005);µg/m³;554;Saronno v.Santuario;212;VA;Saronno;16/12/2003;(45.627357052738944, 9.026401379770974)
6398;Ossidi di Azoto;µg/m³;554;Saronno v.Santuario;212;VA;Saronno;28/03/1997;(45.627357052738944, 9.026401379770974)
20465;BlackCarbon;µg/m³;548;Milano v.Senato;118;MI;Milano;;(45.470499014097, 9.197460360112531)
9873;Particelle sospese PM2.5;µg/m³;554;Saronno v.Santuario;212;VA;Saronno;11/12/2005;(45.627357052738944, 9.026401379770974)
5664;Biossido di Zolfo;µg/m³;612;Filago v.Fermi;176;BG;Filago;17/07/1992;(45.6244564811923, 9.556504350318216)
5557;Biossido di Azoto;µg/m³;554;Saronno v.Santuario;212;VA;Saronno;28/03/1997;(45.627357052738944, 9.026401379770974)
20429;PM10 (SM2005);µg/m³;501;Milano v.Marche;129;MI;Milano;01/01/2018;(45.49631644365102, 9.190933555313624)
20529;Particelle sospese PM2.5;µg/m³;501;Milano v.Marche;129;MI;Milano;01/01/2022;(45.49631644365102, 9.190933555313624)
12531;PM10 (SM2005);µg/m³;1297;Spinadesco v.Battisti;48;CR;Spinadesco;16/02/2011;(45.150468869856816, 9.930596472272326)
5665;Biossido di Zolfo;µg/m³;595;Filago v.Don Milani;190;BG;Filago;07/12/1991;(45.63386450908066, 9.556084255790864)
17122;Particelle sospese PM2.5;µg/m³;548;Milano v.Senato;118;MI;Milano;04/09/2012;(45.470499014097, 9.197460360112531)
20004;BlackCarbon;µg/m³;705;Milano Pascal Città Studi;122;MI;Milano;30/09/2013;(45.47899606168744, 9.235491038497502)
9993;Biossido di Azoto;µg/m³;682;Ferrera Erbognone ENI;88;PV;Ferrera Erbognone;21/01/2006;(45.11350314482957, 8.874064848882607)
9797;Benzene;µg/m³;670;Mantova S.Agnese;22;MN;Mantova;30/09/2005;(45.16056833010576, 10.79556411370788)
