IdSensore;NomeTipoSensore;UnitaMisura;Idstazione;NomeStazione;Quota;DataStart;lat;lng
10431;Ossidi di Azoto;æg/mü;1264;Sondrio v.Paribelli;290;11/11/2008;46167852440665100,00;9879209924469900,00
9968;Ossidi di Azoto;æg/mü;679;Valmadrera v.Pozzi;247;16/02/2006;45842207261022500,00;9351658166127960,00
20197;PM10 (SM2005);æg/mü;598;San Rocco al Porto v.Matteotti;50;01/01/2002;45081986696978600,00;970078817718398,00
5611;Biossido di Azoto;æg/mü;608;Codogno v.Trento;59;13/01/2000;4515937280234110,00;969814824935254,00
10347;Particelle sospese PM2.5;æg/mü;670;Mantova S.Agnese;22;21/12/2007;4516056833010580,00;1079556411370790,00
5749;Ozono;æg/mü;554;Saronno v.Santuario;212;09/05/1991;45627357052738900,00;9026401379770970,00
10197;Particelle sospese PM2.5;æg/mü;697;Borgofranco sul Po loc. Bonizzo;14;01/12/2006;4504650153816730,00;1118093581912750,00
6915;PM10 (SM2005);æg/mü;554;Saronno v.Santuario;212;16/12/2003;45627357052738900,00;9026401379770970,00
6398;Ossidi di Azoto;æg/mü;554;Saronno v.Santuario;212;28/03/1997;45627357052738900,00;9026401379770970,00
20465;BlackCarbon;æg/mü;548;Milano v.Senato;118;;45470499014097,00;9197460360112530,00
9873;Particelle sospese PM2.5;æg/mü;554;Saronno v.Santuario;212;11/12/2005;45627357052738900,00;9026401379770970,00
5664;Biossido di Zolfo;æg/mü;612;Filago v.Fermi;176;17/07/1992;456244564811923,00;9556504350318220,00
5557;Biossido di Azoto;æg/mü;554;Saronno v.Santuario;212;28/03/1997;45627357052738900,00;9026401379770970,00
20429;PM10 (SM2005);æg/mü;501;Milano v.Marche;129;01/01/2018;4549631644365100,00;9190933555313620,00
20529;Particelle sospese PM2.5;æg/mü;501;Milano v.Marche;129;01/01/2022;4549631644365100,00;9190933555313620,00
12531;PM10 (SM2005);æg/mü;1297;Spinadesco v.Battisti;48;16/02/2011;45150468869856800,00;9930596472272330,00
5665;Biossido di Zolfo;æg/mü;595;Filago v.Don Milani;190;07/12/1991;4563386450908070,00;9556084255790860,00
17122;Particelle sospese PM2.5;æg/mü;548;Milano v.Senato;118;04/09/2012;45470499014097,00;9197460360112530,00
20004;BlackCarbon;æg/mü;705;Milano Pascal Citt… Studi;122;30/09/2013;4547899606168740,00;9235491038497500,00
9993;Biossido di Azoto;æg/mü;682;Ferrera Erbognone ENI;88;21/01/2006;4511350314482960,00;8874064848882610,00
9797;Benzene;æg/mü;670;Mantova S.Agnese;22;30/09/2005;4516056833010580,00;1079556411370790,00
5738;Ozono;æg/mü;607;Abbadia Cerreto v. Fanfulla;64;10/04/2001;45309502269282300,00;9585790416120410,00
20497;Benzene;æg/mü;1801;Brescia v.Tartaglia;151;;45542647891822800,00;10211205215118300,00
5575;Biossido di Azoto;æg/mü;572;Morbegno v.Cortivacci;262;13/01/1999;46132282960003700,00;9566179893984470,00
6274;Ossidi di Azoto;æg/mü;598;San Rocco al Porto v.Matteotti;50;24/01/2002;45081986696978600,00;970078817718398,00
20104;Particelle sospese PM2.5;æg/mü;592;Treviglio p.zza Insurrezione;191;01/03/2015;4551933498138720,00;9592009994888420,00
5812;Monossido di Carbonio;mg/mü;606;San Giuliano Milanese via Milano;97;13/01/2000;4539619462552720,00;9282700075557840,00
5834;Monossido di Carbonio;mg/mü;548;Milano v.Senato;118;01/05/1995;45470499014097,00;9197460360112530,00
10288;Ozono;æg/mü;706;Lecco v.Sora;272;28/06/2007;4586374884127960,00;9399950344681850,00
