denominazione,latitudine,longitudine,provincia
Adrara San Martino,45.69953,9.947649,BG
Adrara San Rocco,45.7167222,9.9601666,BG
Albano Sant'Alessandro,45.6875194,9.7717114,BG
Albino,45.7583093,9.7968547,BG
Algua,45.8016634,9.7439994,BG
Almè,45.7370555,9.6153333,BG
Almenno San Bartolomeo,45.7487506,9.5796994,BG
Almenno San Salvatore,45.7512777,9.5973518,BG
Alzano Lombardo,45.737091,9.737192,BG
Ambivere,45.7206948,9.5509663,BG
Antegnate,45.4875185,9.7925,BG
Arcene,45.576574,9.6151666,BG
Ardesio,45.9384444,9.9323703,BG
Arzago d'Adda,45.4823518,9.5653333,BG
Averara,45.9892222,9.6317407,BG
Aviatico,45.7986111,9.7725,BG
Azzano San Paolo,45.6589074,9.6742407,BG
Azzone,45.979232,10.1118977,BG
Bagnatica,45.661895,9.7821945,BG
Barbata,45.4751472,9.7768538,BG
Bariano,45.5135966,9.7048798,BG
Barzana,45.736574,9.5684444,BG
Bedulita,45.7911999,9.552083,BG
Berbenno,45.8153124,9.5728816,BG
Bergamo,45.6947359,9.6687071,BG
Berzo San Fermo,45.7193409,9.9028646,BG
Bianzano,45.774074,9.9192222,BG
Blello,45.8365735,9.5758394,BG
Bolgare,45.6361111,9.8139074,BG
Boltiere,45.6018888,9.579537,BG
Bonate Sopra,45.682942,9.558614,BG
Bonate Sotto,45.6692407,9.5598703,BG
Borgo di Terzo,45.7207606,9.8941323,BG
Bossico,45.8275301,10.0444977,BG
Bottanuco,45.6406174,9.5034728,BG
Bracca,45.824537,9.7098518,BG
Branzi,46.0034754,9.7604953,BG
Brembate,45.6057962,9.5576666,BG
Brembate di Sopra,45.7176666,9.5806481,BG
Brembilla,45.81831,9.5993441,BG
Brignano Gera d'Adda,45.5475,9.6487592,BG
Brumano,45.8522989,9.5009756,BG
Brusaporto,45.6723576,9.762526,BG
Calcinate,45.6212592,9.8003148,BG
Calcio,45.5104814,9.8523518,BG
Calusco d'Adda,45.6923518,9.4737592,BG
Calvenzano,45.4978333,9.6025185,BG
Camerata Cornello,45.8997037,9.6575185,BG
Canonica d'Adda,45.5767407,9.5428333,BG
Capizzone,45.7854814,9.5689259,BG
Capriate San Gervasio,45.6083773,9.5279264,BG
Caprino Bergamasco,45.7462592,9.4828148,BG
Caravaggio,45.4973064,9.6439032,BG
Carobbio degli Angeli,45.6662777,9.8303333,BG
Carona,46.0240831,9.789957,BG
Carvico,45.7048703,9.4834629,BG
Casazza,45.7500397,9.9099333,BG
Casirate d'Adda,45.4978333,9.5673518,BG
Casnigo,45.815009,9.867569,BG
Cassiglio,45.9673184,9.6139779,BG
Castel Rozzone,45.5532962,9.6209444,BG
Castelli Calepio,45.638981,9.903907,BG
Castione della Presolana,45.9153148,10.0647037,BG
Castro,45.8039074,10.0681296,BG
Cavernago,45.6257297,9.7667878,BG
Cazzano Sant'Andrea,45.8136111,9.8859629,BG
Cenate Sopra,45.7133338,9.8240014,BG
Cenate Sotto,45.7000758,9.8275634,BG
Cene,45.7842222,9.826574,BG
Cerete,45.8682601,9.9955939,BG
Chignolo d'Isola,45.6686111,9.5287592,BG
Chiuduno,45.6517407,9.8506481,BG
Cisano Bergamasco,45.74248,9.470045,BG
Ciserano,45.5850647,9.6004656,BG
Cividate al Piano,45.5559629,9.832037,BG
